Gene Name	cpm
A1BG	0.35361239103080555
A1BG-AS1	0.0
A1CF	0.35361239103080555
A2M	17.327007160509474
A2M-AS1	0.4243348692369667
A2ML1	0.0
A2MP1	0.0
A3GALT2	0.28288991282464443
A4GALT	0.0
A4GNT	0.0
AA06	0.0
AAAS	0.0
AACS	0.0
AACSP1	0.0
AADAC	0.0
AADACL2	0.07072247820616111
AADACL2-AS1	7.213692777028434
AADACL3	0.0
AADACL4	0.0
AADACP1	0.0
AADAT	0.0
AAGAB	3.1825115192772504
AAK1	6.365023038554501
AAMDC	0.0
AAMP	1.5558945205355446
AANAT	0.0
AAR2	0.4243348692369667
AARD	0.07072247820616111
AARS1	1.9802293897725114
AARS1P1	0.0
AARS2	2.2631193025971554
AARSD1	0.7072247820616111
AARSD1P1	0.0
AASDH	2.2631193025971554
AASDHPPT	0.7779472602677723
AASS	0.0
AATBC	0.0
AATF	2.1216743461848333
AATK	5.162740909049761
ABALON	0.0
ABAT	2.0509518679786725
ABCA1	1.0608371730924167
ABCA10	0.4243348692369667
ABCA11P	9.901146948862557
ABCA12	0.0
ABCA13	0.0
ABCA17P	0.7072247820616111
ABCA2	0.14144495641232221
ABCA3	0.21216743461848336
ABCA3P1	0.14144495641232221
ABCA4	0.0
ABCA5	2.7581766500402836
ABCA6	4.526238605194311
ABCA7	0.0
ABCA8	0.0
ABCA9	0.0
ABCA9-AS1	0.4243348692369667
ABCB1	1.4144495641232222
ABCB10	14.56883051046919
ABCB10P1	0.28288991282464443
ABCB10P3	0.28288991282464443
ABCB10P4	0.0
ABCB11	0.0
ABCB4	3.3239564756895725
ABCB5	1.4144495641232222
ABCB6	0.7779472602677723
ABCB7	5.7285207346990505
ABCB8	0.28288991282464443
ABCB9	0.0
ABCC1	0.0
ABCC10	0.07072247820616111
ABCC11	0.21216743461848336
ABCC12	0.14144495641232221
ABCC13	3.8190138231327007
ABCC2	0.0
ABCC3	5.233463387255923
ABCC4	13.437270859170612
ABCC5	0.14144495641232221
ABCC5-AS1	0.0
ABCC6	0.0
ABCC6P1	0.14144495641232221
ABCC6P2	0.0
ABCC8	0.9901146948862557
ABCC9	1.4851720423293833
ABCD1	0.0
ABCD1P1	0.0
ABCD1P2	0.0
ABCD1P3	0.0
ABCD1P4	0.0
ABCD1P5	0.0
ABCD2	1.5558945205355446
ABCD3	2.8288991282464444
ABCD4	3.041066562864928
ABCE1	1.4851720423293833
ABCF1	0.8486697384739335
ABCF2	0.4243348692369667
ABCF2-H2BK1	0.28288991282464443
ABCF2P1	0.14144495641232221
ABCF2P2	0.0
ABCF3	2.0509518679786725
ABCG1	0.0
ABCG2	2.0509518679786725
ABCG4	0.0
ABCG5	0.0
ABCG8	1.9802293897725114
ABHD1	0.0
ABHD10	1.5558945205355446
ABHD11	0.0
ABHD11-AS1	0.0
ABHD12	1.9095069115663503
ABHD12B	0.0
ABHD13	3.394678953895734
ABHD14A	0.0
ABHD14A-ACY1	0.0
ABHD14B	1.9802293897725114
ABHD15	0.21216743461848336
ABHD16A	0.14144495641232221
ABHD16B	0.0
ABHD17A	2.4752867372156393
ABHD17AP1	0.4243348692369667
ABHD17AP3	0.4243348692369667
ABHD17AP4	0.0
ABHD17AP5	0.0
ABHD17AP6	0.4243348692369667
ABHD17AP7	0.0
ABHD17AP8	0.0
ABHD17AP9	0.0
ABHD17B	2.2631193025971554
ABHD17C	0.35361239103080555
ABHD18	1.838784433360189
ABHD2	9.123199688594784
ABHD3	0.21216743461848336
ABHD4	0.07072247820616111
ABHD5	16.690504856654027
ABHD6	0.0
ABHD8	0.07072247820616111
ABI1	7.850195080883884
ABI1P1	0.7072247820616111
ABI2	3.111789041071089
ABI3	2.8288991282464444
ABI3BP	0.0
ABITRAM	2.2631193025971554
ABITRAMP1	0.0
ABL1	2.6874541718341223
ABL2	0.7072247820616111
ABLIM1	7.142970298822273
ABLIM2	0.0
ABLIM3	6.930802864203789
ABO	0.4243348692369667
ABR	1.4144495641232222
ABRA	0.0
ABRACL	15.700390161767768
ABRAXAS1	5.657798256492889
ABRAXAS2	6.365023038554501
ABT1	1.3437270859170611
ABT1P1	0.0
ABTB1	5.869965691111373
ABTB2	0.28288991282464443
ACAA1	0.0
ACAA2	14.215218119438385
