		Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
SGI75460076	0	A1BG	0.047567	A1BG	0.123441
SGI75460076	1	A1BG-AS1	0.0	A1BG-AS1	0.0
SGI75460076	2	A1CF	0.0	A1CF	0.0
SGI75460076	3	A2M	0.563078	A2M	0.65387
SGI75460076	4	A2M-AS1	0.0	A2M-AS1	0.105706
SGI75460076	5	A2ML1	0.0	A2ML1	0.0
SGI75460076	6	A2MP1	0.011987	A2MP1	0.413909
SGI75460076	7	A3GALT2	0.0	A3GALT2	0.019403
SGI75460076	8	A4GALT	0.330263	A4GALT	0.0
SGI75460076	9	A4GNT	0.0	A4GNT	0.0
SGI75460076	10	AA06	0.0	AA06	0.0
SGI75460076	11	AAAS	0.017445	AAAS	0.071443
SGI75460076	12	AACS	0.0	AACS	0.0
SGI75460076	13	AACSP1	0.0	AACSP1	0.071185
SGI75460076	14	AADAC	0.0	AADAC	0.0
SGI75460076	15	AADACL2	0.0	AADACL2	0.0
SGI75460076	16	AADACL2-AS1	0.000491	AADACL2-AS1	0.069201
SGI75460076	17	AADACL3	0.002689	AADACL3	0.076039
SGI75460076	18	AADACL4	0.042714	AADACL4	0.0
SGI75460076	19	AADACP1	0.0	AADACP1	0.0
SGI75460076	20	AADAT	0.0	AADAT	0.0
SGI75460076	21	AAGAB	0.276947	AAGAB	0.958194
SGI75460076	22	AAK1	0.030687	AAK1	0.120773
SGI75460076	23	AAMDC	0.112643	AAMDC	0.0
SGI75460076	24	AAMP	0.802736	AAMP	1.471621
SGI75460076	25	AANAT	0.005957	AANAT	0.369581
SGI75460076	26	AAR2	0.300693	AAR2	0.524835
SGI75460076	27	AARD	0.0	AARD	0.009189
SGI75460076	28	AARS1	0.025778	AARS1	0.0
SGI75460076	29	AARS1P1	0.0	AARS1P1	0.0
SGI75460076	30	AARS2	0.0	AARS2	0.017133
SGI75460076	31	AARSD1	0.0	AARSD1	0.0
SGI75460076	32	AARSD1P1	0.0	AARSD1P1	0.0
SGI75460076	33	AASDH	0.121245	AASDH	0.0
SGI75460076	34	AASDHPPT	0.156687	AASDHPPT	0.290575
SGI75460076	35	AASS	0.0	AASS	0.0
SGI75460076	36	AATBC	0.0	AATBC	0.0
SGI75460076	37	AATF	0.0	AATF	1.436027
SGI75460076	38	AATK	0.005908	AATK	0.194693
SGI75460076	39	ABALON	0.053622	ABALON	9.820168
SGI75460076	40	ABAT	0.065092	ABAT	0.283659
SGI75460076	41	ABCA1	0.003663	ABCA1	0.157103
SGI75460076	42	ABCA10	0.003061	ABCA10	0.074482
SGI75460076	43	ABCA11P	0.0	ABCA11P	0.0
SGI75460076	44	ABCA12	0.0	ABCA12	0.0
SGI75460076	45	ABCA13	0.031933	ABCA13	0.0
SGI75460076	46	ABCA17P	0.004326	ABCA17P	0.033012
SGI75460076	47	ABCA2	0.0	ABCA2	0.0
SGI75460076	48	ABCA3	0.002002	ABCA3	0.392496
SGI75460076	49	ABCA3P1	0.0	ABCA3P1	0.0
SGI75460076	50	ABCA4	0.0	ABCA4	0.0
SGI75460076	51	ABCA5	0.002937	ABCA5	0.038898
SGI75460076	52	ABCA6	0.160004	ABCA6	0.274466
SGI75460076	53	ABCA7	0.0	ABCA7	0.0
SGI75460076	54	ABCA8	0.0	ABCA8	0.0
SGI75460076	55	ABCA9	0.003071	ABCA9	0.0
SGI75460076	56	ABCA9-AS1	0.022266	ABCA9-AS1	0.037782
SGI75460076	57	ABCB1	0.004222	ABCB1	0.219922
SGI75460076	58	ABCB10	3.028107	ABCB10	5.797662
SGI75460076	59	ABCB10P1	0.026966	ABCB10P1	0.0
SGI75460076	60	ABCB10P3	0.03693	ABCB10P3	0.0
SGI75460076	61	ABCB10P4	0.131054	ABCB10P4	0.0
SGI75460076	62	ABCB11	0.0	ABCB11	0.0
SGI75460076	63	ABCB4	0.0	ABCB4	0.0
SGI75460076	64	ABCB5	0.018772	ABCB5	0.075638
SGI75460076	65	ABCB6	0.118589	ABCB6	0.295308
SGI75460076	66	ABCB7	0.007989	ABCB7	0.016473
SGI75460076	67	ABCB8	0.0	ABCB8	0.006242
SGI75460076	68	ABCB9	0.0	ABCB9	0.0
SGI75460076	69	ABCC1	0.0	ABCC1	0.0
SGI75460076	70	ABCC10	0.013081	ABCC10	0.0
SGI75460076	71	ABCC11	0.0	ABCC11	0.0
SGI75460076	72	ABCC12	0.010506	ABCC12	0.046664
SGI75460076	73	ABCC13	0.0557	ABCC13	0.225094
SGI75460076	74	ABCC2	0.006391	ABCC2	0.0
SGI75460076	75	ABCC3	0.017172	ABCC3	0.61781
SGI75460076	76	ABCC4	2.000415	ABCC4	2.841226
SGI75460076	77	ABCC5	0.473502	ABCC5	0.671228
SGI75460076	78	ABCC5-AS1	0.0	ABCC5-AS1	0.0
SGI75460076	79	ABCC6	0.0	ABCC6	0.0
SGI75460076	80	ABCC6P1	0.0	ABCC6P1	0.058857
SGI75460076	81	ABCC6P2	0.0	ABCC6P2	0.0
SGI75460076	82	ABCC8	0.000835	ABCC8	0.027433
SGI75460076	83	ABCC9	0.0	ABCC9	0.0
SGI75460076	84	ABCD1	0.0	ABCD1	0.0
SGI75460076	85	ABCD1P1	0.0	ABCD1P1	0.0
SGI75460076	86	ABCD1P2	0.0	ABCD1P2	0.0
SGI75460076	87	ABCD1P3	0.0	ABCD1P3	0.0
SGI75460076	88	ABCD1P4	0.0	ABCD1P4	0.0
SGI75460076	89	ABCD1P5	0.0	ABCD1P5	0.0
