		Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
SGI75460075	0	A1BG	0.077162	A1BG	0.138923
SGI75460075	1	A1BG-AS1	0.0	A1BG-AS1	0.0
SGI75460075	2	A1CF	0.009397	A1CF	0.0
SGI75460075	3	A2M	0.6779980000000001	A2M	0.6705
SGI75460075	4	A2M-AS1	0.015473	A2M-AS1	0.0
SGI75460075	5	A2ML1	0.0	A2ML1	0.0
SGI75460075	6	A2MP1	0.0314	A2MP1	1.523476
SGI75460075	7	A3GALT2	0.042414	A3GALT2	0.088776
SGI75460075	8	A4GALT	0.0	A4GALT	0.0
SGI75460075	9	A4GNT	0.0	A4GNT	0.0
SGI75460075	10	AA06	0.000717	AA06	0.002474
SGI75460075	11	AAAS	0.057781	AAAS	0.120555
SGI75460075	12	AACS	0.0	AACS	0.0
SGI75460075	13	AACSP1	0.002226	AACSP1	0.087189
SGI75460075	14	AADAC	0.013819	AADAC	0.0
SGI75460075	15	AADACL2	0.001723	AADACL2	0.0
SGI75460075	16	AADACL2-AS1	0.001484	AADACL2-AS1	0.085982
SGI75460075	17	AADACL3	0.00822	AADACL3	0.176346
SGI75460075	18	AADACL4	0.0	AADACL4	0.0
SGI75460075	19	AADACP1	0.043038	AADACP1	0.0
SGI75460075	20	AADAT	0.0	AADAT	0.0
SGI75460075	21	AAGAB	0.619543	AAGAB	1.603298
SGI75460075	22	AAK1	0.010091	AAK1	0.117888
SGI75460075	23	AAMDC	0.002927	AAMDC	0.0
SGI75460075	24	AAMP	0.189637	AAMP	0.294443
SGI75460075	25	AANAT	0.008688	AANAT	1.431787
SGI75460075	26	AAR2	0.066095	AAR2	0.112001
SGI75460075	27	AARD	0.006269	AARD	0.021242
SGI75460075	28	AARS1	0.094788	AARS1	0.081725
SGI75460075	29	AARS1P1	0.0	AARS1P1	0.0
SGI75460075	30	AARS2	0.0	AARS2	0.158504
SGI75460075	31	AARSD1	0.0	AARSD1	0.0
SGI75460075	32	AARSD1P1	0.0	AARSD1P1	0.0
SGI75460075	33	AASDH	0.076173	AASDH	0.0
SGI75460075	34	AASDHPPT	0.064125	AASDHPPT	0.120286
SGI75460075	35	AASS	0.110544	AASS	0.174199
SGI75460075	36	AATBC	0.013083	AATBC	0.026398
SGI75460075	37	AATF	0.064813	AATF	1.01076
SGI75460075	38	AATK	0.007433	AATK	0.176495
SGI75460075	39	ABALON	0.0	ABALON	3.504806
SGI75460075	40	ABAT	0.081545	ABAT	0.317754
SGI75460075	41	ABCA1	0.00703	ABCA1	0.247058
SGI75460075	42	ABCA10	0.000382	ABCA10	0.089711
SGI75460075	43	ABCA11P	0.0	ABCA11P	0.0
SGI75460075	44	ABCA12	0.008157	ABCA12	0.899722
SGI75460075	45	ABCA13	0.049192	ABCA13	0.022307
SGI75460075	46	ABCA17P	0.005591	ABCA17P	0.055562
SGI75460075	47	ABCA2	0.0	ABCA2	0.0
SGI75460075	48	ABCA3	0.002571	ABCA3	0.668401
SGI75460075	49	ABCA3P1	0.0	ABCA3P1	0.0
SGI75460075	50	ABCA4	0.019343	ABCA4	0.0
SGI75460075	51	ABCA5	0.002417	ABCA5	0.099233
SGI75460075	52	ABCA6	0.006427	ABCA6	0.010162
SGI75460075	53	ABCA7	0.033608	ABCA7	0.0
SGI75460075	54	ABCA8	0.0	ABCA8	0.0
SGI75460075	55	ABCA9	0.0	ABCA9	0.0
SGI75460075	56	ABCA9-AS1	0.0	ABCA9-AS1	0.0
SGI75460075	57	ABCB1	0.008762	ABCB1	0.221109
SGI75460075	58	ABCB10	0.670015	ABCB10	1.022747
SGI75460075	59	ABCB10P1	0.000226	ABCB10P1	0.0
SGI75460075	60	ABCB10P3	0.000362	ABCB10P3	0.0
SGI75460075	61	ABCB10P4	0.000362	ABCB10P4	0.0
SGI75460075	62	ABCB11	0.004023	ABCB11	0.0
SGI75460075	63	ABCB4	0.0	ABCB4	0.0
SGI75460075	64	ABCB5	0.002064	ABCB5	0.090015
SGI75460075	65	ABCB6	0.0200419999999999	ABCB6	0.249143
SGI75460075	66	ABCB7	0.02494	ABCB7	0.010113
SGI75460075	67	ABCB8	0.0	ABCB8	0.011551
SGI75460075	68	ABCB9	0.0	ABCB9	0.0
SGI75460075	69	ABCC1	0.0	ABCC1	0.0
SGI75460075	70	ABCC10	0.016611	ABCC10	0.047596
SGI75460075	71	ABCC11	0.0	ABCC11	0.0
SGI75460075	72	ABCC12	0.011383	ABCC12	0.046212
SGI75460075	73	ABCC13	0.129629	ABCC13	0.547287
SGI75460075	74	ABCC2	0.001085	ABCC2	0.0
SGI75460075	75	ABCC3	0.050882	ABCC3	0.711191
SGI75460075	76	ABCC4	1.069601	ABCC4	1.682079
SGI75460075	77	ABCC5	0.049799	ABCC5	0.062729
SGI75460075	78	ABCC5-AS1	0.014344	ABCC5-AS1	0.024596
SGI75460075	79	ABCC6	0.0	ABCC6	0.0
SGI75460075	80	ABCC6P1	0.018615	ABCC6P1	0.143758
SGI75460075	81	ABCC6P2	0.0	ABCC6P2	0.0
SGI75460075	82	ABCC8	0.01338	ABCC8	0.042782
SGI75460075	83	ABCC9	0.0	ABCC9	0.0
SGI75460075	84	ABCD1	0.013981	ABCD1	0.0
SGI75460075	85	ABCD1P1	0.0	ABCD1P1	0.0
SGI75460075	86	ABCD1P2	0.0	ABCD1P2	0.0
SGI75460075	87	ABCD1P3	0.0	ABCD1P3	0.0
SGI75460075	88	ABCD1P4	0.0	ABCD1P4	0.0
SGI75460075	89	ABCD1P5	0.0	ABCD1P5	0.0
SGI75460075	90	ABCD2	0.021104	ABCD2	0.018756
SGI75460075	91	ABCD3	0.092892	ABCD3	0.0
SGI75460075	92	ABCD4	0.0	ABCD4	0.0
SGI75460075	93	ABCE1	0.268533	ABCE1	0.895413
SGI75460075	94	ABCF1	0.007262	ABCF1	0.4576409999999999
SGI75460075	95	ABCF2	0.031617	ABCF2	0.063693
SGI75460075	96	ABCF2-H2BK1	0.023331	ABCF2-H2BK1	0.044627
SGI75460075	97	ABCF2P1	0.0	ABCF2P1	0.0
SGI75460075	98	ABCF2P2	0.0	ABCF2P2	0.0
SGI75460075	99	ABCF3	0.0	ABCF3	0.0
SGI75460075	100	ABCG1	0.18986	ABCG1	0.308445
SGI75460075	101	ABCG2	0.252721	ABCG2	0.368339
SGI75460075	102	ABCG4	0.0	ABCG4	0.0
SGI75460075	103	ABCG5	0.0	ABCG5	0.0
SGI75460075	104	ABCG8	0.003183	ABCG8	0.027758
SGI75460075	105	ABHD1	0.0	ABHD1	0.0
SGI75460075	106	ABHD10	0.072691	ABHD10	0.118872
SGI75460075	107	ABHD11	0.338742	ABHD11	0.491752
SGI75460075	108	ABHD11-AS1	0.0	ABHD11-AS1	0.028632
SGI75460075	109	ABHD12	0.0	ABHD12	0.0
SGI75460075	110	ABHD12B	0.0	ABHD12B	0.0
SGI75460075	111	ABHD13	0.016769	ABHD13	0.026434
SGI75460075	112	ABHD14A	0.0	ABHD14A	0.0
SGI75460075	113	ABHD14A-ACY1	0.0	ABHD14A-ACY1	0.0
SGI75460075	114	ABHD14B	0.146109	ABHD14B	0.479313
SGI75460075	115	ABHD15	0.233274	ABHD15	0.37702
SGI75460075	116	ABHD16A	0.002835	ABHD16A	0.156011
SGI75460075	117	ABHD16B	0.0	ABHD16B	0.039562
SGI75460075	118	ABHD17A	0.669541	ABHD17A	0.814408
SGI75460075	119	ABHD17AP1	0.0	ABHD17AP1	0.0
SGI75460075	120	ABHD17AP3	0.0	ABHD17AP3	0.149177
SGI75460075	121	ABHD17AP4	0.0	ABHD17AP4	0.0
SGI75460075	122	ABHD17AP5	0.0	ABHD17AP5	0.0
SGI75460075	123	ABHD17AP6	0.011389	ABHD17AP6	0.0
SGI75460075	124	ABHD17AP7	0.0	ABHD17AP7	0.0
SGI75460075	125	ABHD17AP8	0.0	ABHD17AP8	0.0
SGI75460075	126	ABHD17AP9	0.0	ABHD17AP9	0.0
SGI75460075	127	ABHD17B	0.267839	ABHD17B	0.418425
SGI75460075	128	ABHD17C	0.002992	ABHD17C	0.139462
SGI75460075	129	ABHD18	0.019571	ABHD18	0.258337
SGI75460075	130	ABHD2	0.319254	ABHD2	0.564868
SGI75460075	131	ABHD3	0.306048	ABHD3	0.483144
SGI75460075	132	ABHD4	0.058887	ABHD4	0.10473
SGI75460075	133	ABHD5	0.251574	ABHD5	0.395645
SGI75460075	134	ABHD6	0.0	ABHD6	0.0
SGI75460075	135	ABHD8	0.011978	ABHD8	0.15294
SGI75460075	136	ABI1	1.465831	ABI1	2.828738
SGI75460075	137	ABI1P1	0.000804	ABI1P1	0.007382
SGI75460075	138	ABI2	0.312921	ABI2	0.488836
SGI75460075	139	ABI3	1.987202	ABI3	3.122269
SGI75460075	140	ABI3BP	0.003006	ABI3BP	0.0
SGI75460075	141	ABITRAM	0.454477	ABITRAM	0.728447
SGI75460075	142	ABITRAMP1	0.0	ABITRAMP1	0.0
SGI75460075	143	ABL1	0.003778	ABL1	0.258533
SGI75460075	144	ABL2	0.071787	ABL2	0.084839
SGI75460075	145	ABLIM1	0.65016	ABLIM1	0.973526
SGI75460075	146	ABLIM2	0.03624	ABLIM2	0.0
SGI75460075	147	ABLIM3	1.108473	ABLIM3	1.830787
SGI75460075	148	ABO	0.014842	ABO	0.0
SGI75460075	149	ABR	0.100446	ABR	0.282258
SGI75460075	150	ABRA	0.004139	ABRA	0.004176
SGI75460075	151	ABRACL	3.182655	ABRACL	5.207381
SGI75460075	152	ABRAXAS1	0.140083	ABRAXAS1	0.033379
SGI75460075	153	ABRAXAS2	0.7307	ABRAXAS2	1.139943
SGI75460075	154	ABT1	0.011704	ABT1	0.0
SGI75460075	155	ABT1P1	0.0	ABT1P1	0.0
SGI75460075	156	ABTB1	2.25178	ABTB1	3.609045
SGI75460075	157	ABTB2	0.0	ABTB2	0.281624
SGI75460075	158	ACAA1	0.690678	ACAA1	0.0
SGI75460075	159	ACAA2	0.03123	ACAA2	0.166291
SGI75460075	160	ACAA2P1	0.0	ACAA2P1	0.0
SGI75460075	161	ACACA	0.011474	ACACA	0.035942
SGI75460075	162	ACACB	0.066469	ACACB	0.138525
SGI75460075	163	ACAD10	0.000859	ACAD10	0.094371
SGI75460075	164	ACAD11	0.0	ACAD11	0.0
SGI75460075	165	ACAD8	0.241326	ACAD8	0.0
SGI75460075	166	ACAD9	0.305251	ACAD9	0.0
SGI75460075	167	ACADL	0.0	ACADL	0.0
SGI75460075	168	ACADM	0.006527	ACADM	0.026578
SGI75460075	169	ACADS	0.008978	ACADS	0.28266
SGI75460075	170	ACADSB	0.024387	ACADSB	0.083594
SGI75460075	171	ACADVL	0.03944	ACADVL	0.0
SGI75460075	172	ACAN	0.0	ACAN	0.0
SGI75460075	173	ACAP1	0.0	ACAP1	0.0
SGI75460075	174	ACAP2	1.023847	ACAP2	3.562282
SGI75460075	175	ACAP3	0.0	ACAP3	0.005184
SGI75460075	176	ACAT1	0.010866	ACAT1	0.235513
SGI75460075	177	ACAT2	0.031926	ACAT2	1.283328
SGI75460075	178	ACBD3	0.069866	ACBD3	0.167328
SGI75460075	179	ACBD3-AS1	0.001548	ACBD3-AS1	0.0
SGI75460075	180	ACBD4	0.0	ACBD4	0.0
SGI75460075	181	ACBD5	0.327772	ACBD5	0.544805
SGI75460075	182	ACBD6	0.140945	ACBD6	0.432303
SGI75460075	183	ACBD7	0.0	ACBD7	0.059461
SGI75460075	184	ACBD7-DCLRE1CP1	0.006158	ACBD7-DCLRE1CP1	0.0
SGI75460075	185	ACCS	0.0	ACCS	0.0
SGI75460075	186	ACCSL	0.0	ACCSL	0.0
SGI75460075	187	ACD	0.0	ACD	0.0
SGI75460075	188	ACE	0.0	ACE	0.0
SGI75460075	189	ACE2	0.006438	ACE2	0.099115
SGI75460075	190	ACE3P	0.001399	ACE3P	0.086556
SGI75460075	191	ACER1	0.0	ACER1	0.0
SGI75460075	192	ACER2	0.093468	ACER2	0.156246
SGI75460075	193	ACER2P1	0.0	ACER2P1	0.0
SGI75460075	194	ACER3	0.327146	ACER3	0.517275
SGI75460075	195	ACHE	0.026995	ACHE	1.035024
SGI75460075	196	ACIN1	0.569923	ACIN1	0.557737
SGI75460075	197	ACKR1	0.329874	ACKR1	0.519539
SGI75460075	198	ACKR2	0.007447	ACKR2	0.105305
SGI75460075	199	ACKR3	0.0	ACKR3	0.0
SGI75460075	200	ACKR4	0.0	ACKR4	0.002365
SGI75460075	201	ACKR4P1	0.000848	ACKR4P1	0.063528
SGI75460075	202	ACLY	0.609002	ACLY	3.447932
SGI75460075	203	ACMSD	0.0	ACMSD	0.0
SGI75460075	204	ACNATP	0.0	ACNATP	0.0
SGI75460075	205	ACO1	0.009149	ACO1	0.014356
SGI75460075	206	ACO2	0.011637	ACO2	0.157318
SGI75460075	207	ACOD1	0.0	ACOD1	0.0
SGI75460075	208	ACOT1	0.0	ACOT1	0.0
SGI75460075	209	ACOT11	0.007076	ACOT11	0.137457
SGI75460075	210	ACOT12	0.005824	ACOT12	0.0
SGI75460075	211	ACOT13	0.008704	ACOT13	0.046753
SGI75460075	212	ACOT2	0.064147	ACOT2	2.398636
SGI75460075	213	ACOT4	0.006356	ACOT4	0.024886
SGI75460075	214	ACOT6	0.0	ACOT6	0.60345
SGI75460075	215	ACOT7	0.681946	ACOT7	0.835976
SGI75460075	216	ACOT8	0.0	ACOT8	0.0
SGI75460075	217	ACOT9	0.008514	ACOT9	0.11219
SGI75460075	218	ACOX1	0.302389	ACOX1	0.344059
SGI75460075	219	ACOX2	0.0	ACOX2	0.0
SGI75460075	220	ACOX3	0.0	ACOX3	0.0
SGI75460075	221	ACOXL	0.0	ACOXL	0.132598
SGI75460075	222	ACOXL-AS1	0.0	ACOXL-AS1	0.035705
SGI75460075	223	ACP1	2.534734	ACP1	5.464822
SGI75460075	224	ACP2	0.208403	ACP2	0.397571
SGI75460075	225	ACP3	0.049858	ACP3	0.0
SGI75460075	226	ACP4	0.055627	ACP4	0.092655
SGI75460075	227	ACP5	0.222397	ACP5	0.547611
SGI75460075	228	ACP6	0.0	ACP6	0.0
SGI75460075	229	ACP7	0.0	ACP7	0.0
SGI75460075	230	ACR	0.006243	ACR	0.0
SGI75460075	231	ACRBP	0.723743	ACRBP	1.183473
SGI75460075	232	ACRP1	0.0	ACRP1	0.0
SGI75460075	233	ACRV1	0.0	ACRV1	0.054816
SGI75460075	234	ACSBG1	0.039155	ACSBG1	0.380204
SGI75460075	235	ACSBG2	0.009679	ACSBG2	0.0
SGI75460075	236	ACSF2	0.393033	ACSF2	0.606491
SGI75460075	237	ACSF3	0.081864	ACSF3	0.0
SGI75460075	238	ACSL1	0.86826	ACSL1	1.070041
SGI75460075	239	ACSL3	0.003346	ACSL3	0.032547
SGI75460075	240	ACSL4	1.079107	ACSL4	1.432393
SGI75460075	241	ACSL5	0.049678	ACSL5	0.213406
