		Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
SGI75460067	0	A1BG	0.008487	A1BG	0.018992
SGI75460067	1	A1BG-AS1	0.0	A1BG-AS1	0.0
SGI75460067	2	A1CF	0.007522	A1CF	0.034539
SGI75460067	3	A2M	0.734601	A2M	0.820457
SGI75460067	4	A2M-AS1	0.010195	A2M-AS1	0.012638
SGI75460067	5	A2ML1	0.0	A2ML1	0.0
SGI75460067	6	A2MP1	0.0	A2MP1	0.006828
SGI75460067	7	A3GALT2	0.003684	A3GALT2	0.003099
SGI75460067	8	A4GALT	0.0	A4GALT	0.0
SGI75460067	9	A4GNT	0.0	A4GNT	0.0
SGI75460067	10	AA06	0.0	AA06	0.0
SGI75460067	11	AAAS	0.0	AAAS	0.001286
SGI75460067	12	AACS	0.0	AACS	0.0
SGI75460067	13	AACSP1	0.0	AACSP1	0.001023
SGI75460067	14	AADAC	0.0	AADAC	0.0
SGI75460067	15	AADACL2	6e-05	AADACL2	0.0
SGI75460067	16	AADACL2-AS1	0.004114	AADACL2-AS1	0.007198
SGI75460067	17	AADACL3	0.0	AADACL3	0.002764
SGI75460067	18	AADACL4	0.0	AADACL4	0.0
SGI75460067	19	AADACP1	0.0	AADACP1	0.0
SGI75460067	20	AADAT	0.0	AADAT	0.0
SGI75460067	21	AAGAB	0.193335	AAGAB	0.227977
SGI75460067	22	AAK1	0.015344	AAK1	0.020081
SGI75460067	23	AAMDC	0.0	AAMDC	0.0
SGI75460067	24	AAMP	0.165273	AAMP	0.187709
SGI75460067	25	AANAT	4.3e-05	AANAT	0.007356
SGI75460067	26	AAR2	0.027996	AAR2	0.034704
SGI75460067	27	AARD	0.001598	AARD	0.001241
SGI75460067	28	AARS1	0.054604	AARS1	0.0
SGI75460067	29	AARS1P1	0.0	AARS1P1	0.0
SGI75460067	30	AARS2	0.04638	AARS2	0.062046
SGI75460067	31	AARSD1	0.009444	AARSD1	0.001077
SGI75460067	32	AARSD1P1	0.0	AARSD1P1	0.0
SGI75460067	33	AASDH	0.120453	AASDH	0.120051
SGI75460067	34	AASDHPPT	0.007168	AASDHPPT	0.009963
SGI75460067	35	AASS	0.0	AASS	0.0
SGI75460067	36	AATBC	0.0	AATBC	0.0
SGI75460067	37	AATF	0.1002	AATF	0.2483
SGI75460067	38	AATK	0.021136	AATK	0.139566
SGI75460067	39	ABALON	0.0	ABALON	1.174407
SGI75460067	40	ABAT	0.075605	ABAT	0.09372
SGI75460067	41	ABCA1	0.001237	ABCA1	0.003174
SGI75460067	42	ABCA10	0.000825	ABCA10	0.000947
SGI75460067	43	ABCA11P	0.020441	ABCA11P	0.036658
SGI75460067	44	ABCA12	0.0	ABCA12	0.0
SGI75460067	45	ABCA13	0.0	ABCA13	0.0
SGI75460067	46	ABCA17P	0.000779	ABCA17P	0.004864
SGI75460067	47	ABCA2	0.002621	ABCA2	0.0
SGI75460067	48	ABCA3	0.000469	ABCA3	0.002853
SGI75460067	49	ABCA3P1	0.003748	ABCA3P1	0.0
SGI75460067	50	ABCA4	0.0	ABCA4	0.0
SGI75460067	51	ABCA5	0.016322	ABCA5	0.010559
SGI75460067	52	ABCA6	0.083498	ABCA6	0.0
SGI75460067	53	ABCA7	0.0	ABCA7	0.0
SGI75460067	54	ABCA8	0.0	ABCA8	0.0
SGI75460067	55	ABCA9	0.0	ABCA9	0.047749
SGI75460067	56	ABCA9-AS1	0.002849	ABCA9-AS1	0.003437
SGI75460067	57	ABCB1	0.001339	ABCB1	0.001578
SGI75460067	58	ABCB10	0.377874	ABCB10	0.541971
SGI75460067	59	ABCB10P1	0.003962	ABCB10P1	0.0
SGI75460067	60	ABCB10P3	0.006332	ABCB10P3	0.0
SGI75460067	61	ABCB10P4	0.0	ABCB10P4	0.0
SGI75460067	62	ABCB11	0.0	ABCB11	0.0
SGI75460067	63	ABCB4	0.155742	ABCB4	0.184349
SGI75460067	64	ABCB5	0.002028	ABCB5	0.003527
SGI75460067	65	ABCB6	0.040153	ABCB6	0.014749
SGI75460067	66	ABCB7	0.035467	ABCB7	0.051296
SGI75460067	67	ABCB8	0.003046	ABCB8	0.005778
SGI75460067	68	ABCB9	0.0	ABCB9	0.0
SGI75460067	69	ABCC1	0.0	ABCC1	0.0
SGI75460067	70	ABCC10	0.001048	ABCC10	0.0
SGI75460067	71	ABCC11	0.005129	ABCC11	0.0
SGI75460067	72	ABCC12	5e-06	ABCC12	0.001938
SGI75460067	73	ABCC13	0.013679	ABCC13	0.291216
SGI75460067	74	ABCC2	0.0	ABCC2	0.0
SGI75460067	75	ABCC3	0.01687	ABCC3	0.002541
SGI75460067	76	ABCC4	0.465832	ABCC4	0.606311
SGI75460067	77	ABCC5	0.003195	ABCC5	0.0
SGI75460067	78	ABCC5-AS1	0.0	ABCC5-AS1	0.001581
SGI75460067	79	ABCC6	0.0	ABCC6	0.0
SGI75460067	80	ABCC6P1	0.000148	ABCC6P1	0.0
SGI75460067	81	ABCC6P2	0.0	ABCC6P2	0.0
SGI75460067	82	ABCC8	0.002324	ABCC8	0.004512
SGI75460067	83	ABCC9	0.033146	ABCC9	0.0
SGI75460067	84	ABCD1	0.0	ABCD1	0.0
SGI75460067	85	ABCD1P1	0.0	ABCD1P1	0.0
SGI75460067	86	ABCD1P2	0.0	ABCD1P2	0.0
SGI75460067	87	ABCD1P3	0.0	ABCD1P3	0.0
SGI75460067	88	ABCD1P4	0.0	ABCD1P4	0.000733
SGI75460067	89	ABCD1P5	0.0	ABCD1P5	0.0
SGI75460067	90	ABCD2	0.024909	ABCD2	0.0
SGI75460067	91	ABCD3	0.1576	ABCD3	0.077751
SGI75460067	92	ABCD4	0.190007	ABCD4	0.0
SGI75460067	93	ABCE1	0.0283539999999999	ABCE1	0.197565
SGI75460067	94	ABCF1	0.008215	ABCF1	0.377748
SGI75460067	95	ABCF2	0.001872	ABCF2	0.002091
SGI75460067	96	ABCF2-H2BK1	0.001381	ABCF2-H2BK1	0.001567
SGI75460067	97	ABCF2P1	0.004442	ABCF2P1	0.0
SGI75460067	98	ABCF2P2	0.0	ABCF2P2	0.0
SGI75460067	99	ABCF3	0.163768	ABCF3	0.208725
SGI75460067	100	ABCG1	0.0	ABCG1	0.002727
SGI75460067	101	ABCG2	0.085193	ABCG2	0.0
