		Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
SGI75460105	0	A1BG	0.007439	A1BG	0.01926
SGI75460105	1	A1BG-AS1	0.0	A1BG-AS1	0.033198
SGI75460105	2	A1CF	0.03666	A1CF	0.061278
SGI75460105	3	A2M	0.701438	A2M	0.780024
SGI75460105	4	A2M-AS1	0.01201	A2M-AS1	0.0
SGI75460105	5	A2ML1	0.0	A2ML1	0.0
SGI75460105	6	A2MP1	0.0	A2MP1	1.375146
SGI75460105	7	A3GALT2	0.000112	A3GALT2	0.097297
SGI75460105	8	A4GALT	0.0	A4GALT	0.0
SGI75460105	9	A4GNT	0.0	A4GNT	0.0
SGI75460105	10	AA06	0.000557	AA06	0.0
SGI75460105	11	AAAS	0.002098	AAAS	0.03584
SGI75460105	12	AACS	0.068864	AACS	0.0
SGI75460105	13	AACSP1	0.001439	AACSP1	0.092021
SGI75460105	14	AADAC	0.0	AADAC	0.0
SGI75460105	15	AADACL2	0.00251	AADACL2	0.0
SGI75460105	16	AADACL2-AS1	0.002076	AADACL2-AS1	0.075842
SGI75460105	17	AADACL3	0.002222	AADACL3	0.097076
SGI75460105	18	AADACL4	0.0	AADACL4	0.0
SGI75460105	19	AADACP1	0.0	AADACP1	0.0
SGI75460105	20	AADAT	0.00683	AADAT	0.0
SGI75460105	21	AAGAB	0.188748	AAGAB	0.472444
SGI75460105	22	AAK1	0.027316	AAK1	0.151711
SGI75460105	23	AAMDC	0.0	AAMDC	0.0
SGI75460105	24	AAMP	0.170994	AAMP	0.174328
SGI75460105	25	AANAT	0.005216	AANAT	1.543496
SGI75460105	26	AAR2	0.282148	AAR2	0.677949
SGI75460105	27	AARD	0.000105	AARD	0.033635
SGI75460105	28	AARS1	0.305515	AARS1	0.300508
SGI75460105	29	AARS1P1	0.0	AARS1P1	0.0
SGI75460105	30	AARS2	0.0	AARS2	0.005337
SGI75460105	31	AARSD1	0.0	AARSD1	0.0
SGI75460105	32	AARSD1P1	0.0	AARSD1P1	0.0
SGI75460105	33	AASDH	0.0	AASDH	0.0
SGI75460105	34	AASDHPPT	0.075616	AASDHPPT	0.134046
SGI75460105	35	AASS	0.023024	AASS	0.0
SGI75460105	36	AATBC	0.001026	AATBC	0.010184
SGI75460105	37	AATF	0.200202	AATF	0.817059
SGI75460105	38	AATK	0.003315	AATK	0.211012
SGI75460105	39	ABALON	0.0	ABALON	7.825
SGI75460105	40	ABAT	0.0	ABAT	0.059765
SGI75460105	41	ABCA1	0.000905	ABCA1	0.241811
SGI75460105	42	ABCA10	0.001813	ABCA10	0.050319
