		Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
SGI75460068	0	A1BG	0.1968	A1BG	0.774117
SGI75460068	1	A1BG-AS1	0.07585	A1BG-AS1	0.121567
SGI75460068	2	A1CF	0.003219	A1CF	0.045117
SGI75460068	3	A2M	1.152752	A2M	1.680732
SGI75460068	4	A2M-AS1	0.0	A2M-AS1	0.0
SGI75460068	5	A2ML1	0.0	A2ML1	0.0
SGI75460068	6	A2MP1	0.0	A2MP1	0.0
SGI75460068	7	A3GALT2	0.009982	A3GALT2	0.001076
SGI75460068	8	A4GALT	0.0	A4GALT	0.0
SGI75460068	9	A4GNT	0.0	A4GNT	0.0
SGI75460068	10	AA06	0.002617	AA06	0.015377
SGI75460068	11	AAAS	0.045708	AAAS	0.005147
SGI75460068	12	AACS	0.014134	AACS	0.0
SGI75460068	13	AACSP1	0.013998	AACSP1	0.021228
SGI75460068	14	AADAC	0.121967	AADAC	0.0
SGI75460068	15	AADACL2	0.020115	AADACL2	0.0
SGI75460068	16	AADACL2-AS1	0.007007	AADACL2-AS1	0.034022
SGI75460068	17	AADACL3	0.0	AADACL3	0.000683
SGI75460068	18	AADACL4	0.0	AADACL4	0.0
SGI75460068	19	AADACP1	0.0	AADACP1	0.0
SGI75460068	20	AADAT	0.0	AADAT	0.0
SGI75460068	21	AAGAB	0.341402	AAGAB	0.547175
SGI75460068	22	AAK1	0.112558	AAK1	0.053236
SGI75460068	23	AAMDC	0.149903	AAMDC	0.0
SGI75460068	24	AAMP	0.066718	AAMP	0.074575
SGI75460068	25	AANAT	0.0	AANAT	0.048299
SGI75460068	26	AAR2	0.566207	AAR2	0.88756
SGI75460068	27	AARD	0.0	AARD	0.001523
SGI75460068	28	AARS1	0.111754	AARS1	0.124766
SGI75460068	29	AARS1P1	0.0	AARS1P1	0.0
SGI75460068	30	AARS2	0.018983	AARS2	0.01145
SGI75460068	31	AARSD1	0.006173	AARSD1	0.006421
SGI75460068	32	AARSD1P1	0.0	AARSD1P1	0.0
SGI75460068	33	AASDH	0.014997	AASDH	0.0
SGI75460068	34	AASDHPPT	0.135123	AASDHPPT	0.209274
SGI75460068	35	AASS	0.0	AASS	0.0
SGI75460068	36	AATBC	0.033762	AATBC	0.054111
SGI75460068	37	AATF	0.006257	AATF	1.680808
SGI75460068	38	AATK	0.003038	AATK	0.138948
SGI75460068	39	ABALON	0.0	ABALON	2.908138
SGI75460068	40	ABAT	0.129204	ABAT	0.20047
SGI75460068	41	ABCA1	0.001143	ABCA1	0.007481
SGI75460068	42	ABCA10	0.003061	ABCA10	0.00537
SGI75460068	43	ABCA11P	0.034297	ABCA11P	0.034778
SGI75460068	44	ABCA12	0.007765	ABCA12	0.0
SGI75460068	45	ABCA13	0.033198	ABCA13	0.011348
SGI75460068	46	ABCA17P	0.009919	ABCA17P	0.02634
SGI75460068	47	ABCA2	0.0	ABCA2	0.0
SGI75460068	48	ABCA3	0.002049	ABCA3	0.01976
SGI75460068	49	ABCA3P1	0.0	ABCA3P1	0.0
SGI75460068	50	ABCA4	0.0	ABCA4	0.0
