Gene Name	Gene type
GPR158-AS1	lncRNA
LINC01003	lncRNA
VPS9D1-AS1	lncRNA
ZFPM1-AS1	lncRNA
LOC100128885	lncRNA
FAM66B	lncRNA
GATA6-AS1	lncRNA
LINC01960	lncRNA
LINC01310	lncRNA
LOC100128966	lncRNA
MAPT-AS1	lncRNA
LOC100128988	lncRNA
LOC100128993	lncRNA
PCBP3-AS1	lncRNA
PKP4-AS1	lncRNA
LOC100129034	lncRNA
BCAR3-AS1	lncRNA
SEMA3F-AS1	lncRNA
LOC100129066	lncRNA
KTN1-AS1	lncRNA
SIGLEC10-AS1	lncRNA
TDH-AS1	lncRNA
LOC100129148	lncRNA
LOC100129175	lncRNA
ZSCAN16-AS1	lncRNA
MATN1-AS1	lncRNA
LOC100129203	lncRNA
SLC39A12-AS1	lncRNA
LOC100129215	lncRNA
THCAT155	lncRNA
LINC01160	lncRNA
CD200R1L-AS1	lncRNA
LOC100129316	lncRNA
LINC02291	lncRNA
LINC00484	lncRNA
C9orf92	lncRNA
GABPB1-AS1	lncRNA
FAM106C	lncRNA
DDC-AS1	lncRNA
LOC100129434	lncRNA
LOC100129455	lncRNA
LYRM4-AS1	lncRNA
LINC01546	lncRNA
LINC02983	lncRNA
LINC02012	lncRNA
SOD2-OT1	lncRNA
LOC100129540	lncRNA
LINC02035	lncRNA
LINC00462	lncRNA
LOC100129603	lncRNA
LOC100129617	lncRNA
PLPPR5-AS1	lncRNA
OR2W1-AS1	lncRNA
FGF13-AS1	lncRNA
LOC100129697	lncRNA
ARRDC3-AS1	lncRNA
STPG3-AS1	lncRNA
MAPRE3-AS1	lncRNA
LINC01126	lncRNA
MIR193BHG	lncRNA
SLC25A21-AS1	lncRNA
IRAG1-AS1	lncRNA
COL4A2-AS2	lncRNA
PCOLCE-AS1	lncRNA
SCOC-AS1	lncRNA
DYM-AS1	lncRNA
PCGF3-AS1	lncRNA
LOC100129931	lncRNA
HMGA2-AS1	lncRNA
CCNT2-AS1	lncRNA
CERNA1	lncRNA
LINC01460	lncRNA
LOC100130027	lncRNA
LOC100130111	lncRNA
MAPT-IT1	lncRNA
MIR124-2HG	lncRNA
FAM13B-AS1	lncRNA
EFCAB14-AS1	lncRNA
LOC100130207	lncRNA
LINC00861	lncRNA
LOC100130238	lncRNA
LINC02961	lncRNA
LOC100130256	lncRNA
SLC24A3-AS1	lncRNA
LOC100130268	lncRNA
TFAP2A-AS1	lncRNA
LOC100130283	lncRNA
LOC100130298	lncRNA
LOC100130357	lncRNA
LOC100130370	lncRNA
EPB41L1-AS1	lncRNA
LINC00552	lncRNA
LINC02593	lncRNA
CECR7	lncRNA
GPC1-AS1	lncRNA
SPAG16-DT	lncRNA
LOC100130452	lncRNA
CAND1.11	lncRNA
WAKMAR2	lncRNA
LINC01387	lncRNA
PARD6G-AS1	lncRNA
LINC02881	lncRNA
LOC100130548	lncRNA
NFYC-AS1	lncRNA
LINC00910	lncRNA
LOC100130587	lncRNA
LOC100130691	lncRNA
LOC100130698	lncRNA
LRRC58-DT	lncRNA
HDHD5-AS1	lncRNA
LOC100130744	lncRNA
AGAP2-AS1	lncRNA
USP3-AS1	lncRNA
LOC100130872	lncRNA
CREB3L2-AS1	lncRNA
ATE1-AS1	lncRNA
PSORS1C3	lncRNA
VAC14-AS1	lncRNA
ZNF594-DT	lncRNA
LINC01502	lncRNA
LOC100130964	lncRNA
LINC02901	lncRNA
LOC100130987	lncRNA
LOC100130992	lncRNA
DNAH8-AS1	lncRNA
LINC01135	lncRNA
CKMT2-AS1	lncRNA
SRP14-DT	lncRNA
DPP9-AS1	lncRNA
ZBTB20-AS1	lncRNA
LINC01405	lncRNA
WDR86-AS1	lncRNA
CCDC183-AS1	lncRNA
SNAP25-AS1	lncRNA
ZNF503-AS2	lncRNA
MIR181A1HG	lncRNA
LOC100131289	lncRNA
GREM1-AS1	lncRNA
RAB6C-AS1	lncRNA
LINC00605	lncRNA
LOC100131395	lncRNA
EOLA1-DT	lncRNA
LOC100131472	lncRNA
LOC100131496	lncRNA
LOC100131532	lncRNA
LINC00887	lncRNA
FKSG29	lncRNA
CCDC18-AS1	lncRNA
DPP4-DT	lncRNA
LOC100131626	lncRNA
LOC100131635	lncRNA
ZNF236-DT	lncRNA
MZF1-AS1	lncRNA
FAM83A-AS1	lncRNA
USP30-AS1	lncRNA
AHI1-DT	lncRNA
CADM3-AS1	lncRNA
LOC100131943	lncRNA
FAM27E3	lncRNA
LOC100132062	lncRNA
LOC100132077	lncRNA
LOC100132078	lncRNA
FAM66E	lncRNA
C2CD4D-AS1	lncRNA
ACTA2-AS1	lncRNA
LINC01783	lncRNA
CALML3-AS1	lncRNA
PHKA2-AS1	lncRNA
WASIR2	lncRNA
LINC01987	lncRNA
EHBP1-AS1	lncRNA
LINC00543	lncRNA
LOC100132249	lncRNA
NDUFA6-DT	lncRNA
LOC100132287	lncRNA
LINC01512	lncRNA
LOC100132356	lncRNA
FAM157B	lncRNA
FAM99B	lncRNA
LINC01415	lncRNA
TAT-AS1	lncRNA
LINC02312	lncRNA
ZRANB2-AS1	lncRNA
BSN-DT	lncRNA
LOC100132686	lncRNA
PAXIP1-AS2	lncRNA
FILNC1	lncRNA
LOC100132741	lncRNA
KDM4A-AS1	lncRNA
SYBU-AS1	lncRNA
MSC-AS1	lncRNA
FAM66D	lncRNA
FAM197Y9	lncRNA
FAM27C	lncRNA
FAM223A	lncRNA
LINC00856	lncRNA
FAM95B1	lncRNA
LOC100133077	lncRNA
LINC03009	lncRNA
FAM27B	lncRNA
LINC01203	lncRNA
LINC01001	lncRNA
FAM66A	lncRNA
ADIRF-AS1	lncRNA
HSDL2-AS1	lncRNA
LINC00240	lncRNA
CBR1-AS1	lncRNA
HOXA-AS3	lncRNA
PRO1804	lncRNA
LINC02171	lncRNA
MRPL23-AS1	lncRNA
LINC01134	lncRNA
LY6E-DT	lncRNA
UXT-AS1	lncRNA
LINC01816	lncRNA
MAP3K14-AS1	lncRNA
UBOX5-AS1	lncRNA
LOC100134040	lncRNA
KDM7A-DT	lncRNA
LINC01119	lncRNA
LOC100134317	lncRNA
LOC100134368	lncRNA
LOC100134391	lncRNA
LOC100134423	lncRNA
NDUFB2-AS1	lncRNA
LOC100134868	lncRNA
LOC100144595	lncRNA
LINC00029	lncRNA
LINC01056	lncRNA
EPHA5-AS1	lncRNA
CHKB-DT	lncRNA
LINC00930	lncRNA
TMCO1-AS1	lncRNA
TEX36-AS1	lncRNA
TRIM59-IFT80	lncRNA
HECTD2-AS1	lncRNA
LINC00426	lncRNA
LINC00092	lncRNA
DNMBP-AS1	lncRNA
DCTN1-AS1	lncRNA
RAMP2-AS1	lncRNA
TPT1-AS1	lncRNA
LINC02418	lncRNA
LOC100190986	lncRNA
ZFHX4-AS1	lncRNA
PP12613	lncRNA
FLJ16779	lncRNA
LINC01634	lncRNA
LOC100192426	lncRNA
MANCR	lncRNA
KMT2E-AS1	lncRNA
LINC01004	lncRNA
PCED1B-AS1	lncRNA
LOC100240728	lncRNA
LOC100240734	lncRNA
LOC100240735	lncRNA
RPL26L1-AS1	lncRNA
LINC01432	lncRNA
CASC11	lncRNA
LOC100270746	lncRNA
LCDR	lncRNA
LINC00940	lncRNA
LINC00899	lncRNA
LIMS3-LOC440895	lncRNA
AIRN	lncRNA
LOC100272217	lncRNA
EOLA2-DT	lncRNA
BCDIN3D-AS1	lncRNA
LINC03010	lncRNA
PPM1F-AS1	lncRNA
VPS13A-AS1	lncRNA
LOC100287010	lncRNA
MCPH1-DT	lncRNA
LOC100287036	lncRNA
MIF4GD-DT	lncRNA
DCAF8-DT	lncRNA
GACAT2	lncRNA
TONSL-AS1	lncRNA
LINC00421	lncRNA
LOC100287175	lncRNA
EML2-AS1	lncRNA
SH3RF3-AS1	lncRNA
LINC01630	lncRNA
TIPARP-AS1	lncRNA
LOC100287290	lncRNA
LINC00941	lncRNA
LOC100287329	lncRNA
OSTM1-AS1	lncRNA
LOC100287387	lncRNA
LOC100287467	lncRNA
ADPGK-AS1	lncRNA
LINC00173	lncRNA
LINC02106	lncRNA
LOC100287610	lncRNA
LOXL1-AS1	lncRNA
LOC100287704	lncRNA
AP4B1-AS1	lncRNA
SMIM10L2B-AS1	lncRNA
LINC00630	lncRNA
LOC100287792	lncRNA
LOC100287808	lncRNA
LINC00582	lncRNA
LOC100287834	lncRNA
ARHGEF17-AS1	lncRNA
LOC100287846	lncRNA
LINC00994	lncRNA
LIPT2-AS1	lncRNA
LGALS8-AS1	lncRNA
LOC100287944	lncRNA
LINC01699	lncRNA
LOC100288069	lncRNA
LDLRAD4-AS1	lncRNA
LOC100288123	lncRNA
SLC9A3-AS1	lncRNA
LOC100288162	lncRNA
LOC100288175	lncRNA
LNCOC1	lncRNA
HMGN3-AS1	lncRNA
LOC100288208	lncRNA
LOC100288254	lncRNA
NCAM1-AS1	lncRNA
LMCD1-AS1	lncRNA
IL10RB-DT	lncRNA
FOXL3-OT1	lncRNA
LOC100288728	lncRNA
PAN3-AS1	lncRNA
LINC02894	lncRNA
SLC38A4-AS1	lncRNA
SRGAP3-AS3	lncRNA
MIA2-AS1	lncRNA
NGFR-AS1	lncRNA
CRIM1-DT	lncRNA
SLC25A25-AS1	lncRNA
ADAMTSL4-AS2	lncRNA
ATP2A1-AS1	lncRNA
LINC03011	lncRNA
FAM27E2	lncRNA
FAM95C	lncRNA
FAM197Y5	lncRNA
GNG12-AS1	lncRNA
FAM197Y4	lncRNA
LINC00624	lncRNA
LOC100289230	lncRNA
DNAJC3-DT	lncRNA
MAN1B1-DT	lncRNA
LOC100289361	lncRNA
UBAC2-AS1	lncRNA
KCTD21-AS1	lncRNA
MCF2L-AS1	lncRNA
LOC100289470	lncRNA
LOC100289495	lncRNA
KCNIP2-AS1	lncRNA
LOC100289511	lncRNA
LOC100289580	lncRNA
PSG8-AS1	lncRNA
LINC01848	lncRNA
RBM38-AS1	lncRNA
LINC00942	lncRNA
LOC100293612	lncRNA
LOC100294145	lncRNA
RNF213-AS1	lncRNA
NHEG1	lncRNA
RASAL2-AS1	lncRNA
PTCSC1	lncRNA
FAM41AY2	lncRNA
LINC00882	lncRNA
BABAM2-AS1	lncRNA
LINC00184	lncRNA
FTX	lncRNA
PCNA-AS1	lncRNA
FAS-AS1	lncRNA
NCRUPAR	lncRNA
TSNAX-DISC1	lncRNA
ZEB2-AS1	lncRNA
SLC25A5-AS1	lncRNA
PITPNA-AS1	lncRNA
OTX2-AS1	lncRNA
LOC100310756	lncRNA
HOTTIP	lncRNA
LINC00102	lncRNA
MACROD2-AS1	lncRNA
ZNF225-AS1	lncRNA
BOK-AS1	lncRNA
MIR181A2HG	lncRNA
GRIK1-AS2	lncRNA
DBET	lncRNA
LINC02532	lncRNA
LOC100422781	lncRNA
LINC00881	lncRNA
LINC00276	lncRNA
THAP9-AS1	lncRNA
BAALC-AS1	lncRNA
LINC02992	lncRNA
USP2-AS1	lncRNA
LINC00987	lncRNA
LINC00674	lncRNA
LINC00673	lncRNA
LINC03027	lncRNA
LOC100502572	lncRNA
LINC01539	lncRNA
SYNE1-AS1	lncRNA
LINC01602	lncRNA
PRKAG2-AS1	lncRNA
PCAT19	lncRNA
LOC100505498	lncRNA
TOX-DT	lncRNA
LINC01723	lncRNA
EDNRB-AS1	lncRNA
LINC02520	lncRNA
LINC01301	lncRNA
GPR176-DT	lncRNA
ISM1-AS1	lncRNA
RBM26-AS1	lncRNA
SLIT1-AS1	lncRNA
LINC01095	lncRNA
LINC01208	lncRNA
ATP8B1-AS1	lncRNA
LOC100505555	lncRNA
GOLGA7B-DT	lncRNA
LINC00578	lncRNA
LINC02708	lncRNA
LINC00672	lncRNA
LINC00838	lncRNA
LHX2-AS1	lncRNA
GAPLINC	lncRNA
PARD3-DT	lncRNA
LINC02053	lncRNA
SNHG21	lncRNA
LINC00919	lncRNA
NDUFV1-DT	lncRNA
POU2F2-AS1	lncRNA
GTF3C2-AS1	lncRNA
LINC02102	lncRNA
LINC01133	lncRNA
DAAM2-AS1	lncRNA
MALINC1	lncRNA
FGD5-AS1	lncRNA
RAD51-AS1	lncRNA
DIAPH1-AS1	lncRNA
LINC00967	lncRNA
LINC01370	lncRNA
LOC100505664	lncRNA
DCST1-AS1	lncRNA
RRS1-DT	lncRNA
STARD4-AS1	lncRNA
NAPA-AS1	lncRNA
LINC01431	lncRNA
LOC100505685	lncRNA
LINC00888	lncRNA
FTO-IT1	lncRNA
SH3BP5-AS1	lncRNA
LINC01094	lncRNA
LOC100505711	lncRNA
LOC100505715	lncRNA
LOC100505716	lncRNA
LINC01592	lncRNA
LOC100505736	lncRNA
MIR4458HG	lncRNA
LINC01603	lncRNA
ITGB2-AS1	lncRNA
PRMT5-AS1	lncRNA
C10orf95-AS1	lncRNA
LINC01364	lncRNA
MHENCR	lncRNA
LOC100505774	lncRNA
LINC01541	lncRNA
LOC100505782	lncRNA
OSER1-DT	lncRNA
KIRREL1-IT1	lncRNA
PBX1-AS1	lncRNA
NETO1-DT	lncRNA
SNHG18	lncRNA
LINC02148	lncRNA
CARD8-AS1	lncRNA
LINC02582	lncRNA
LINC02805	lncRNA
STK4-DT	lncRNA
PROX1-AS1	lncRNA
LINC01532	lncRNA
SH3PXD2A-AS1	lncRNA
ROPN1L-AS1	lncRNA
LOC100505851	lncRNA
LINC01898	lncRNA
APTR	lncRNA
LINC00920	lncRNA
CFAP58-DT	lncRNA
LOC100505874	lncRNA
LINC01088	lncRNA
UBE2E2-DT	lncRNA
LINC02059	lncRNA
KIF25-AS1	lncRNA
MAGI2-AS3	lncRNA
LINC01672	lncRNA
SORCS3-AS1	lncRNA
SLIT2-IT1	lncRNA
TMEM161B-DT	lncRNA
LOC100505909	lncRNA
LOC100505912	lncRNA
LOC100505915	lncRNA
LOC100505918	lncRNA
LINC02036	lncRNA
GLCCI1-DT	lncRNA
LINC01549	lncRNA
ADD3-AS1	lncRNA
ICA1-AS1	lncRNA
LOC100505942	lncRNA
LINC02184	lncRNA
LINC01304	lncRNA
LINC00645	lncRNA
HEXD-IT1	lncRNA
ENO1-AS1	lncRNA
LOC100505978	lncRNA
LINC02478	lncRNA
LOC100505985	lncRNA
LUCAT1	lncRNA
SOX1-OT	lncRNA
RTCA-AS1	lncRNA
LOC100506016	lncRNA
ARAP1-AS2	lncRNA
LINC02606	lncRNA
LOC100506023	lncRNA
CRPPA-AS1	lncRNA
PTOV1-AS1	lncRNA
LINC00989	lncRNA
CNNM3-DT	lncRNA
GAS5-AS1	lncRNA
LINC02580	lncRNA
LINC01005	lncRNA
RNASEH1-DT	lncRNA
DACT3-AS1	lncRNA
RBFADN	lncRNA
LOC100506071	lncRNA
LOC100506076	lncRNA
LINC02749	lncRNA
DDX19A-DT	lncRNA
LINC02275	lncRNA
MACC1-DT	lncRNA
ZDHHC12-DT	lncRNA
LINC02382	lncRNA
SIX3-AS1	lncRNA
UVRAG-DT	lncRNA
PELATON	lncRNA
LINC01503	lncRNA
LINC02431	lncRNA
LINC02969	lncRNA
LOC100506124	lncRNA
ADCY6-DT	lncRNA
LINC00867	lncRNA
TTC21B-AS1	lncRNA
RHOQ-AS1	lncRNA
SRP54-AS1	lncRNA
LINC02470	lncRNA
TAF1A-AS1	lncRNA
LINC01568	lncRNA
RIPOR3-AS1	lncRNA
STEAP1B-AS1	lncRNA
LINC03001	lncRNA
LINC00963	lncRNA
LARGE-AS1	lncRNA
LOC100506207	lncRNA
MIR210HG	lncRNA
PAXBP1-AS1	lncRNA
LINC01093	lncRNA
RAB30-DT	lncRNA
LOC100506235	lncRNA
LOC100506236	lncRNA
NKX2-1-AS1	lncRNA
LL22NC01-81G9.3	lncRNA
LOC100506253	lncRNA
SYT9-AS1	lncRNA
LOC100506271	lncRNA
LINC02492	lncRNA
LOC100506274	lncRNA
KRBOX1-AS1	lncRNA
LOC100506281	lncRNA
ANKRD42-DT	lncRNA
TBC1D8-AS1	lncRNA
LOC100506289	lncRNA
ID2-AS1	lncRNA
RBM33-DT	lncRNA
LINC00958	lncRNA
HOTAIRM1	lncRNA
GPRC5D-AS1	lncRNA
LINC01988	lncRNA
LOC100506321	lncRNA
SP2-AS1	lncRNA
LINC01127	lncRNA
LINC00649	lncRNA
INKA2-AS1	lncRNA
ARSD-AS1	lncRNA
LOC100506358	lncRNA
OTUD6B-AS1	lncRNA
FZD4-DT	lncRNA
LINC02091	lncRNA
TTLL10-AS1	lncRNA
RNF32-DT	lncRNA
PHACTR3-AS1	lncRNA
LINC01426	lncRNA
RPH3AL-AS1	lncRNA
SLC16A1-AS1	lncRNA
LINC02398	lncRNA
GAS6-DT	lncRNA
LOC100506403	lncRNA
LOC100506405	lncRNA
LOC100506406	lncRNA
ELOVL2-AS1	lncRNA
MAP3K9-DT	lncRNA
LINC00871	lncRNA
DOCK4-AS1	lncRNA
PANTR1	lncRNA
LOC100506422	lncRNA
CBR3-AS1	lncRNA
LINC00648	lncRNA
SPAG5-AS1	lncRNA
ITPKB-IT1	lncRNA
LOC100506444	lncRNA
LOC100506446	lncRNA
RASSF8-AS1	lncRNA
MIR3681HG	lncRNA
SRD5A3-AS1	lncRNA
LINC01234	lncRNA
TMEM147-AS1	lncRNA
LINC01718	lncRNA
LOC100506472	lncRNA
LOC100506474	lncRNA
EGFLAM-AS2	lncRNA
MIDEAS-AS1	lncRNA
LOC100506489	lncRNA
DSCAM-AS1	lncRNA
LIFR-AS1	lncRNA
CPVL-AS2	lncRNA
LINC02274	lncRNA
PRKCZ-AS1	lncRNA
MORC1-AS1	lncRNA
LINC01176	lncRNA
C5orf64-AS1	lncRNA
LINC01007	lncRNA
LINC02349	lncRNA
LOC100506532	lncRNA
LINC01082	lncRNA
L3MBTL2-AS1	lncRNA
LOC100506551	lncRNA
NECTIN3-AS1	lncRNA
LOC100506563	lncRNA
LINC02809	lncRNA
PTPRN2-AS1	lncRNA
PPP1R26-AS1	lncRNA
VASH1-AS1	lncRNA
LOC100506606	lncRNA
LINC00540	lncRNA
PRKAR2A-AS1	lncRNA
LOC100506639	lncRNA
PXN-AS1	lncRNA
LINC02876	lncRNA
LCMT1-AS2	lncRNA
DDX11-AS1	lncRNA
LOC100506664	lncRNA
NRAV	lncRNA
MRPS30-DT	lncRNA
LINC03031	lncRNA
TTLL1-AS1	lncRNA
SACS-AS1	lncRNA
JARID2-AS1	lncRNA
LINC03012	lncRNA
IQCH-AS1	lncRNA
LINC02982	lncRNA
LINC02985	lncRNA
PCAT6	lncRNA
LINC00327	lncRNA
LINC02308	lncRNA
ALOX12-AS1	lncRNA
NUP50-DT	lncRNA
LINC00901	lncRNA
LINC03013	lncRNA
LOC100506730	lncRNA
FLRT2-AS1	lncRNA
FAM170B-AS1	lncRNA
LINC01589	lncRNA
AFF1-AS1	lncRNA
AGAP1-IT1	lncRNA
MAILR	lncRNA
MIR497HG	lncRNA
LINC00629	lncRNA
IGSF11-AS1	lncRNA
C10orf71-AS1	lncRNA
LINC01353	lncRNA
TRG-AS1	lncRNA
TSPOAP1-AS1	lncRNA
HOXD-AS2	lncRNA
LINC01543	lncRNA
LOC100506790	lncRNA
LINC01511	lncRNA
LINC01354	lncRNA
THORLNC	lncRNA
ECE1-AS1	lncRNA
TMEM30A-DT	lncRNA
LINC01132	lncRNA
MYLK-AS1	lncRNA
LINC02475	lncRNA
GAS1RR	lncRNA
LINC00840	lncRNA
GIHCG	lncRNA
LOC100506851	lncRNA
LOC100506858	lncRNA
LINC00513	lncRNA
TTN-AS1	lncRNA
LOC100506869	lncRNA
LINC00933	lncRNA
MKLN1-AS	lncRNA
LNC-LBCS	lncRNA
LUARIS	lncRNA
DAPK1-IT1	lncRNA
LL0XNC01-250H12.3	lncRNA
CFAP100-DT	lncRNA
CHRM3-AS2	lncRNA
MAP3K2-DT	lncRNA
LOC100506929	lncRNA
LINC00665	lncRNA
LOC100506937	lncRNA
PRKG1-AS1	lncRNA
ELOA-AS1	lncRNA
PWAR6	lncRNA
LOC100506974	lncRNA
NCMAP-DT	lncRNA
FAM86B2-DT	lncRNA
PTPRG-AS1	lncRNA
LINC02318	lncRNA
LOC100507002	lncRNA
LOC100507006	lncRNA
LINC00844	lncRNA
BMPR1B-DT	lncRNA
TMCC1-DT	lncRNA
PITRM1-AS1	lncRNA
TUNAR	lncRNA
LOC100507053	lncRNA
CCAT1	lncRNA
MELTF-AS1	lncRNA
LINC00845	lncRNA
LINC00703	lncRNA
PSMD6-AS2	lncRNA
TEX26-AS1	lncRNA
MSRB3-AS1	lncRNA
CLIP1-AS1	lncRNA
PIWIL2-DT	lncRNA
LINC01798	lncRNA
DLG1-AS1	lncRNA
PITPNM2-AS1	lncRNA
ADAMTS9-AS2	lncRNA
FRY-AS1	lncRNA
LINC02937	lncRNA
LINC00445	lncRNA
ASAP1-IT2	lncRNA
PRC1-AS1	lncRNA
LINC00707	lncRNA
SPART-AS1	lncRNA
LINC01792	lncRNA
LINC00708	lncRNA
CD44-DT	lncRNA
LOC100507156	lncRNA
LINC00709	lncRNA
BOLA3-DT	lncRNA
LINC01012	lncRNA
LINC02408	lncRNA
SLFNL1-AS1	lncRNA
LINC02525	lncRNA
LINC02384	lncRNA
LINC01815	lncRNA
LINC02740	lncRNA
LINC00943	lncRNA
LINC02000	lncRNA
CHASERR	lncRNA
RNF157-AS1	lncRNA
VWA8-AS1	lncRNA
MAMDC2-AS1	lncRNA
SNHG16	lncRNA
C8orf17	lncRNA
LOC100507250	lncRNA
LINC01013	lncRNA
MEG9	lncRNA
MIR670HG	lncRNA
STX18-AS1	lncRNA
LINC01187	lncRNA
LINC01210	lncRNA
LINC02314	lncRNA
MSANTD2-AS1	lncRNA
COPB2-DT	lncRNA
TMEM44-AS1	lncRNA
SMC5-DT	lncRNA
ALKBH3-AS1	lncRNA
SNHG19	lncRNA
TARID	lncRNA
MINCR	lncRNA
ERVK13-1	lncRNA
ZSWIM8-AS1	lncRNA
LOC100507336	lncRNA
LOC100507346	lncRNA
VIM-AS1	lncRNA
LOC100507351	lncRNA
LINC01015	lncRNA
ADGRL1-AS1	lncRNA
LINC02882	lncRNA
KCNQ5-IT1	lncRNA
LOC100507384	lncRNA
PARM1-AS1	lncRNA
LOC100507389	lncRNA
LINC01968	lncRNA
SENCR	lncRNA
LOC100507395	lncRNA
INTS6-AS1	lncRNA
LRP4-AS1	lncRNA
LOC100507403	lncRNA
TMLHE-AS1	lncRNA
LINC02539	lncRNA
C1QTNF1-AS1	lncRNA
LOC100507412	lncRNA
MMP25-AS1	lncRNA
LINC01605	lncRNA
MKNK1-AS1	lncRNA
LINC00458	lncRNA
LINC02551	lncRNA
ZNF571-AS1	lncRNA
DLGAP2-AS1	lncRNA
MTA1-DT	lncRNA
LOC100507443	lncRNA
ZNF213-AS1	lncRNA
NRSN2-AS1	lncRNA
LINC02032	lncRNA
CCDC28A-AS1	lncRNA
PSMB8-AS1	lncRNA
LOC100507464	lncRNA
DPH6-DT	lncRNA
CT66	lncRNA
GRID1-AS1	lncRNA
LOC100507472	lncRNA
IDH1-AS1	lncRNA
LINC02941	lncRNA
LINC02853	lncRNA
LINC02615	lncRNA
LINC01277	lncRNA
SDCBP2-AS1	lncRNA
EGFR-AS1	lncRNA
LINC01569	lncRNA
ECI2-DT	lncRNA
FAM131B-AS2	lncRNA
LOC100507513	lncRNA
LINC02984	lncRNA
LINC02733	lncRNA
ARHGEF26-AS1	lncRNA
THEG5	lncRNA
LINC00613	lncRNA
MCPH1-AS1	lncRNA
SOX21-AS1	lncRNA
LINC02192	lncRNA
LINC01504	lncRNA
LOC100507547	lncRNA
LOC100507548	lncRNA
PGLS-DT	lncRNA
RPL37A-DT	lncRNA
EPM2A-DT	lncRNA
LOC100507560	lncRNA
LOC100507562	lncRNA
MAGOH-DT	lncRNA
RAB11B-AS1	lncRNA
BHLHE40-AS1	lncRNA
LINC01016	lncRNA
NAGPA-AS1	lncRNA
TFIP11-DT	lncRNA
LCT-AS1	lncRNA
TRIM52-AS1	lncRNA
LINC00837	lncRNA
LINC00402	lncRNA
LINC02397	lncRNA
LINC00658	lncRNA
LINC00968	lncRNA
TNKS2-DT	lncRNA
LOC100507634	lncRNA
LINC02432	lncRNA
LINC03014	lncRNA
LINC01606	lncRNA
LINC02554	lncRNA
LINC02082	lncRNA
ZNF687-AS1	lncRNA
LOC100508046	lncRNA
GMDS-DT	lncRNA
LINC02616	lncRNA
CPB2-AS1	lncRNA
CAHM	lncRNA
INMT-MINDY4	lncRNA
SLX1A-SULT1A3	lncRNA
SLX1B-SULT1A4	lncRNA
SEPT5-GP1BB	lncRNA
BLOC1S5-TXNDC5	lncRNA
EEF1E1-BLOC1S5	lncRNA
GJA9-MYCBP	lncRNA
MROH7-TTC4	lncRNA
LHX4-AS1	lncRNA
BORCS7-ASMT	lncRNA
TMX2-CTNND1	lncRNA
ARL2-SNX15	lncRNA
HSPB2-C11orf52	lncRNA
BLOC1S1-RDH5	lncRNA
FKBP1A-SDCBP2	lncRNA
SERF2-C15ORF63	lncRNA
TEN1-CDK3	lncRNA
RAD51L3-RFFL	lncRNA
RNASEK-C17orf49	lncRNA
TMEM256-PLSCR3	lncRNA
MIA-RAB4B	lncRNA
RAB4B-EGLN2	lncRNA
ZNF625-ZNF20	lncRNA
