RNY4,1105957,130950.73456035547
RN7SL2,1013885,120048.9580605087
RN7SL1,987964,116979.7844935988
TRU-TCA1-1,675605,79994.94647861442
RNY1,502112,59452.524132103885
RNY3,255611,30265.59641261552
HBB,226926,26869.151685683286
RNY4P20,165795,19630.94138057279
RNY4P7,128500,15215.03041348414
MIR451A,116088,13745.388720938108
HBA2,96708,11450.701643791628
ND2,71893,8512.483902853037
ND1,61257,7253.129323259128
RNU2-2P,57173,6769.5636873939975
HBA1,54389,6439.924429252832
VTRNA1-1,53056,6282.090689632798
RNU1-3,52912,6265.04038317722
RNU1-1,52127,6172.092532013135
TRE-TTC2-1,49439,5853.820144842353
RNA28SN3,46199,5470.188249591858
RPPH1,42184,4994.792552236692
COX1,42167,4992.779668835687
TRNV,40359,4778.703598893435
RNU1-27P,37562,4447.525076975029
RNU1-28P,36234,4290.2833618847035
RNU1-4,35702,4227.291951923819
TRNL1,34667,4104.742874274356
RMRP,31523,3732.477849994246
TRNM,30300,3587.668650027778
RNVU1-18,29089,3444.2803089326085
ND5,29035,3437.8864440117663
RNU1-2,27509,3257.200557545021
MIR486-1,25363,3003.1036293945385
CYTB,25203,2984.158844443897
MIR16-1,23760,2813.300565170297
MIR92A1,23347,2764.3993390164533
RN7SL4P,22965,2719.168664946796
MIR486-2,22833,2703.5392173625164
RNY4P18,21165,2506.0398342520766
ATP8,20175,2388.818977369981
RNY4P25,19645,2326.06437722098
COX2,19595,2320.1441319239048
MIR15A,18992,2248.745973641174
ND4L,18629,2205.764992784405
EEF1A1,18523,2193.2140727546052
RNVU1-7,17954,2125.841681273885
RNU4-2,17619,2086.176037783479
TMSB4X,16183,1916.1465928514697
TRNK,15611,1848.4189866529255
TRE-CTC1-5,15513,1836.8153058706573
SH3YL1,13930,1649.3803397652457
RN7SL3,13886,1644.1705239038192
RNA28SN2,13556,1605.0969049431208
RN7SL5P,13388,1585.2048807449469
TRD-GTC2-5,12928,1530.7386240118517
RNY3P1,12845,1520.9110168187065
LOC124904141,12606,1492.6122442986855
TRG-GCC2-1,12502,1480.2981340807682
TRD-GTC2-4,12428,1471.5361710410964
MIR16-2,12051,1426.897521501147
LOC124904138,12015,1422.6349448872525
